name,company,contract_period,rental_fee,benefit
삼성 QLED 85인치 스탠드형 (KQ85QD68AFXKR_S),스마트렌탈,48개월,"101,500","518,000"
삼성 QLED 85인치 스탠드형 (KQ85QD68AFXKR_S),스마트렌탈,60개월,"84,000","536,000"
삼성 QLED 85인치 스탠드형 (KQ85QD68AFXKR_S),LG헬로비전,36개월,"147,900","958,000"
삼성 QLED 85인치 스탠드형 (KQ85QD68AFXKR_S),LG헬로비전,48개월,"102,400","884,000"
삼성 QLED 85인치 스탠드형 (KQ85QD68AFXKR_S),LG헬로비전,60개월,"84,400","911,000"
삼성 THE Frame QLED 4K TV (KQ65LSD03AFXKR) (스탠드),현대렌탈서비스,36개월,"105,300","558,000"
삼성 THE Frame QLED 4K TV (KQ65LSD03AFXKR) (스탠드),현대렌탈서비스,48개월,"83,300","585,000"
삼성 THE Frame QLED 4K TV (KQ65LSD03AFXKR) (스탠드),현대렌탈서비스,60개월,"70,500","621,000"
삼성 THE Frame QLED 4K TV (KQ65LSD03AFXKR) (스탠드),렌티스,36개월,"112,900","399,000"
삼성 THE Frame QLED 4K TV (KQ65LSD03AFXKR) (스탠드),렌티스,48개월,"89,900","423,000"
삼성 THE Frame QLED 4K TV (KQ65LSD03AFXKR) (스탠드),렌티스,60개월,"77,900","458,000"
삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),현대렌탈서비스,36개월,"79,000","351,000"
삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),현대렌탈서비스,48개월,"62,400","369,000"
삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),현대렌탈서비스,60개월,"52,500","387,000"
삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),BS ON,36개월,"74,500","395,000"
삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),BS ON,48개월,"59,500","421,000"
삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),BS ON,60개월,"50,000","441,000"
삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),지니원(개인전용),36개월,"86,100","564,000"
삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),지니원(개인전용),48개월,"68,100","546,000"
삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),지니원(개인전용),60개월,"57,600","526,000"
삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),스마트렌탈,36개월,"79,900","305,000"
삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),스마트렌탈,48개월,"63,900","326,000"
삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),스마트렌탈,60개월,"54,900","350,000"
삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),LG헬로비전,36개월,"89,900","582,000"
삼성 The Serif 디자인 UHD TV 55인치 (KQ55LSD01AFXKR),LG헬로비전,48개월,"70,900","612,000"
